id,SerialNo,Date,TTime,curveTag,Prefix,Catalogue,Pm,Isc,Voc(V),Ipm,Vpm(V),FF,Eff,I.Work,V.Work,Temp,RefTemp,Rs,Peak,Rsh
1,CRS25WT6009499,1/21/2026,12:07:19 AM,I->V,321,4,321.5321045,10.03334618,41.14202881,9.392962456,34.23117065,0.778919995,15.64252472,0,0,0.008228935,25,0.402542293,1001.131531,9999
2,CRS25WT6009500,1/21/2026,12:08:31 AM,I->V,323,4,323.9072571,10.17895699,41.12530518,9.471405983,34.19843292,0.773763537,15.75807667,0,0,0.000813492,25,0.401469499,1003.150513,77.68647766
3,CRS25WT6009501,1/21/2026,12:09:37 AM,I->V,325,4,325.7303467,10.11288738,41.12308121,9.511628151,34.24549103,0.78324461,15.84676933,0,0,0.016507922,25,0.389245331,1001.278381,9999
4,CRS25WT6009506,1/21/2026,12:10:39 AM,I->V,327,4,327.3704529,10.19631386,41.17378235,9.578978539,34.17592621,0.77978617,15.9265604,0,0,0.01644849,25,0.404040635,999.5285645,9999
5,CRS25WT6009507,1/21/2026,12:11:46 AM,I->V,322,4,322.0428772,10.12434769,41.25870132,9.374267578,34.35392761,0.770958662,15.66737461,0,0,0.005822327,25,0.39651528,1000.003662,9999
6,CRS25WT6009515,1/21/2026,12:43:32 AM,I->V,325,4,325.9893799,10.12677956,41.06205368,9.563184738,34.08795166,0.783955514,15.85937119,0,0,0.00141028,25,0.39165923,1002.200134,9999
7,CRS25WT6009512,1/21/2026,12:46:05 AM,I->V,325,4,325.3237305,10.11773968,41.05058289,9.543658257,34.08795166,0.783272564,15.82698727,0,0,0.004112123,25,0.387098223,1000.387695,9999
8,CRS25WT6009517,1/21/2026,12:50:07 AM,I->V,328,4,328.1078491,10.1194849,41.08734894,9.6519804,33.99383545,0.789132774,15.96243477,0,0,0.008253504,25,0.393991947,1007.176025,9999
9,CRS25WT6009516,1/21/2026,12:53:28 AM,I->V,333,4,333.8012085,10.2572298,41.11543655,9.793528557,34.08385849,0.791503608,16.23941612,0,0,0.003634401,25,0.387727648,1001.194153,9999
10,009519,1/21/2026,1:04:22 AM,I->V,322,4,322.8623657,10.01697731,41.01992798,9.46747303,34.10227203,0.785752654,15.70724201,0,0,0.003015844,25,0.393615127,1001.866699,148.8841248
